ダウンロードした時刻：2023/06/10 11:07:29

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/5/9,15.1,8,1,20.6,8,1,10.1,8,1,11.7,0,8,1,0,1,8,1,8.8,8,1,1013.4,8,1,6.8,8,1
2023/5/10,17.7,8,1,25.0,8,1,11.4,8,1,11.2,0,8,1,0,1,8,1,12.0,8,1,1011.5,8,1,5.0,8,1
2023/5/11,15.8,8,1,23.4,8,1,10.7,8,1,5.9,0,8,1,9.0,0,8,1,13.2,8,1,1015.7,8,1,6.8,8,1
2023/5/12,17.1,8,1,21.9,8,1,11.3,8,1,7.9,0,8,1,0.0,0,8,1,12.9,8,1,1018.1,8,1,6.3,8,1
2023/5/13,16.7,8,1,18.1,8,1,15.4,8,1,0.3,0,8,1,5.0,0,8,1,15.7,8,1,1017.4,8,1,10.0,8,1
2023/5/14,16.9,8,1,21.2,8,1,14.3,8,1,0.4,0,8,1,3.0,0,8,1,15.7,8,1,1013.5,8,1,10.0,8,1
2023/5/15,16.1,8,1,18.1,8,1,14.6,8,1,0.0,0,8,1,15.5,0,8,1,17.3,8,1,1008.6,8,1,9.8,8,1
2023/5/16,19.9,8,1,27.5,8,1,13.1,8,1,13.1,0,8,1,0,1,8,1,14.5,8,1,1008.5,8,1,2.8,8,1
2023/5/17,22.8,8,1,31.6,8,1,15.1,8,1,12.6,0,8,1,0,1,8,1,17.5,8,1,1010.3,8,1,0.0,8,1
